Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
CTTNBP2	2.42E-86	1.40E-84	1.32E+00	1.28E-01			116	11	0.00E+00	0.00E+00	-1.12E+00	0.00E+00	0.00E+00	-6.39E-01	0.00E+00	0.00E+00	-1.54E+00	0.00E+00	0.00E+00	-1.10E+00						
DCC	1.95E-277	8.65E-275	2.94E+00	1.95E-01			100	78	0.00E+00	0.00E+00	-4.58E-01	0.00E+00	0.00E+00	-9.50E-01	2.66E-192	4.77E-192	5.77E-02	0.00E+00	0.00E+00	-7.68E-01						
DCLK1	1.56E-75	7.73E-74	1.28E+00	1.01E-01			17	60	3.39E-53	4.45E-53	2.48E-01	3.88E-21	4.70E-21	3.27E-01	2.57E-108	3.98E-108	8.16E-02	1.70E-147	2.50E-147	9.87E-02						
DOK6	9.02E-104	6.38E-102	2.58E+00	7.49E-02			119	4	1.40E-124	2.58E-124	-1.02E+00	0.00E+00	0.00E+00	-1.42E+00	0.00E+00	0.00E+00	-2.85E+00	0.00E+00	0.00E+00	-2.10E+00						
DOPEY2	2.86E-34	6.26E-33	1.27E+00	4.53E-02			93	67	5.20E-64	7.33E-64	-3.62E-01	1.40E-199	2.75E-199	-5.49E-01	2.01E-76	2.74E-76	-1.87E-01	9.92E-292	1.90E-291	-4.11E-01						
DPP6	6.06E-43	1.64E-41	2.55E+00	2.23E-02			30	35	1.04E-85	1.66E-85	-1.03E+00	6.70E-158	1.18E-157	-1.27E+00	1.28E-149	2.12E-149	-1.29E+00	0.00E+00	0.00E+00	-2.12E+00						
EPB41L2	3.98E-49	1.22E-47	1.54E+00	4.61E-02			88	136	3.51E-59	4.70E-59	2.25E+00	2.61E-90	3.95E-90	1.86E+00	6.03E-270	1.26E-269	4.41E+00	7.22E-290	1.37E-289	3.34E+00						
EPB41L3	5.73E-167	9.20E-165	1.80E+00	1.80E-01			117	14	0.00E+00	0.00E+00	-4.79E-01	5.27E-291	1.32E-290	-4.74E-01	0.00E+00	0.00E+00	-6.10E-01	0.00E+00	0.00E+00	-8.79E-01						
EPHB6	1.64E-33	3.51E-32	1.29E+00	7.61E-02			110	92	0.00E+00	0.00E+00	-1.99E+00	0.00E+00	0.00E+00	-1.73E+00	6.19E-259	1.26E-258	-9.86E-01	0.00E+00	0.00E+00	-1.36E+00						
EPOR	5.78E-39	1.42E-37	1.95E+00	2.15E-02			21	0	1.81E-07	1.93E-07	1.45E+00	3.09E-41	4.02E-41	1.63E+00	1.35E-10	1.48E-10	3.69E-01	6.47E-05	6.77E-05	8.24E-01						
