Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
FBXO32	3.36E-32	6.89E-31	-1.35E+00	5.68E-02	16	52															0.00E+00	0.00E+00	-1.76E+00	3.17E-163	8.24E-163	-8.65E-01
FGFR2	3.37E-54	1.16E-52	-1.63E+00	6.28E-02	81	77															1.71E-90	3.52E-90	-3.29E-01	4.67E-109	9.64E-109	-2.49E-01
FGFRL1	5.55E-95	3.60E-93	-3.21E+00	4.55E-02	153	104															2.71E-40	4.26E-40	-4.21E-01	3.03E-218	1.03E-217	-8.73E-01
FKBP10	1.17E-83	6.52E-82	-2.49E+00	4.90E-02	158	41															0.00E+00	0.00E+00	-1.91E+00	0.00E+00	0.00E+00	-1.43E+00
FOXP1	1.14E-82	6.26E-81	-1.54E+00	1.48E-01	70	17															0.00E+00	0.00E+00	-8.27E-01	0.00E+00	0.00E+00	-7.60E-01
GADD45G	1.82E-251	6.28E-249	-1.25E+00	2.56E+00	18	188															0.00E+00	0.00E+00	3.52E+00	0.00E+00	0.00E+00	2.63E+00
GINS4	7.86E-65	3.28E-63	-1.68E+00	7.08E-02	132	151															9.33E-21	1.20E-20	2.47E-01	5.24E-01	5.35E-01	5.87E-01
GLIPR2	1.61E-121	1.46E-119	-2.70E+00	7.16E-02	168	145															4.25E-05	4.61E-05	4.12E-01	2.17E-06	2.46E-06	1.36E-01
GNG11	4.55E-57	1.65E-55	-2.17E+00	4.19E-02	24	38															5.58E-214	2.03E-213	-1.56E+00	1.91E-157	4.78E-157	-5.96E-01
GRID2	2.69E-134	2.84E-132	-2.83E+00	7.77E-02	94	166															1.58E-12	1.88E-12	-4.26E-01	2.44E-71	4.39E-71	1.50E+00
GXYLT1	1.64E-35	3.71E-34	-1.26E+00	8.34E-02	49	134															4.01E-02	4.22E-02	7.11E-01	1.16E-07	1.35E-07	9.64E-01
GYPC	1.79E-68	7.96E-67	-1.87E+00	6.76E-02	42	53															7.15E-191	2.47E-190	-8.31E-01	2.99E-270	1.22E-269	-7.40E-01
HAPLN1	2.27E-72	1.06E-70	-4.96E+00	3.17E-02	144	184															4.80E-58	8.28E-58	4.40E+00	2.38E-136	5.66E-136	3.55E+00
HEG1	3.76E-147	4.76E-145	-2.21E+00	1.25E-01	75	136															3.08E-35	4.54E-35	1.42E-01	9.04E-59	1.48E-58	1.21E+00
HTRA1	2.53E-52	8.28E-51	-2.77E+00	2.94E-02	128	103															1.85E-14	2.24E-14	-7.69E-01	9.01E-70	1.58E-69	-2.28E-01
IFI6	9.98E-50	3.10E-48	-2.58E+00	2.88E-02	11	4															4.95E-114	1.18E-113	-1.56E+00	1.15E-94	2.28E-94	-4.62E-01
INAFM1	2.28E-40	5.78E-39	-1.21E+00	9.51E-02	55	9															8.33E-04	8.86E-04	5.73E-01	5.58E-35	7.97E-35	1.08E+00
IQGAP2	7.46E-58	2.75E-56	-1.77E+00	5.85E-02	90	28															9.36E-173	2.97E-172	-1.28E+00	8.00E-285	3.56E-284	-8.30E-01
ITGA2	4.11E-45	1.16E-43	-1.30E+00	1.09E-01	84	64															4.30E-221	1.65E-220	-6.15E-01	8.71E-166	2.32E-165	-3.36E-01
JPH1	2.78E-69	1.25E-67	-1.92E+00	7.00E-02	143	122															8.46E-25	1.14E-24	2.15E-01	2.27E-11	2.77E-11	4.28E-01
KDELC2	3.11E-53	1.04E-51	-1.53E+00	7.89E-02	34	127															6.62E-01	6.72E-01	7.66E-01	3.43E-52	5.44E-52	1.34E+00
KIF26B	1.24E-62	4.94E-61	-1.99E+00	9.02E-02	159	187															4.61E-07	5.21E-07	2.11E+00	0.00E+00	0.00E+00	3.62E+00
LDB2	3.57E-36	8.18E-35	-2.84E+00	2.10E-02	110	6															3.54E-108	8.24E-108	-1.22E+00	9.38E-139	2.26E-138	-9.23E-01
LIMD1	6.11E-47	1.81E-45	-1.27E+00	1.10E-01	25	175															3.68E-64	6.64E-64	1.96E+00	1.33E-284	5.76E-284	2.09E+00
LINC01896	1.20E-91	7.40E-90	-3.32E+00	3.75E-02	127	116															1.44E-30	2.06E-30	-7.53E-01	1.76E-17	2.17E-17	2.82E-01
LINC01965	5.55E-107	4.21E-105	-4.45E+00	4.07E-02	138	80															5.70E-154	1.65E-153	-2.86E+00	4.04E-72	7.35E-72	-2.73E-01
LRRC17	1.70E-42	4.53E-41	-2.68E+00	2.81E-02	10	47															1.98E-297	9.89E-297	-2.32E+00	4.06E-242	1.59E-241	-1.23E+00
LRRC3B	5.54E-52	1.80E-50	-1.21E+00	1.51E-01	86	16															0.00E+00	0.00E+00	-1.74E+00	4.95E-158	1.25E-157	-3.18E-01
LTBP1	4.56E-145	5.70E-143	-2.97E+00	7.75E-02	71	67															8.41E-177	2.71E-176	-1.12E+00	4.26E-67	7.28E-67	-1.54E-01
MACROD1	4.70E-36	1.08E-34	-1.20E+00	8.74E-02	131	23															3.85E-153	1.10E-152	-4.77E-01	3.26E-108	6.65E-108	-2.67E-01
MAN2A1	2.23E-36	5.16E-35	-1.24E+00	6.14E-02	62	167															3.92E-49	6.38E-49	1.76E+00	6.72E-32	9.34E-32	1.39E+00
MAP6	3.65E-33	7.73E-32	-1.42E+00	7.12E-02	151	0															4.02E-42	6.43E-42	1.87E+00	1.51E-128	3.35E-128	1.98E+00
MAST4	3.05E-33	6.47E-32	-2.22E+00	2.52E-02	163	156															3.55E-06	3.96E-06	3.53E-01	1.18E-06	1.35E-06	5.49E-01
MCUB	1.09E-188	2.31E-186	-2.24E+00	1.48E-01	50	91															5.23E-155	1.56E-154	-3.30E-01	5.34E-68	9.21E-68	-9.44E-02
MDFI	5.76E-153	7.83E-151	-2.09E+00	1.87E-01	190	94															8.07E-215	2.99E-214	-6.73E-01	4.77E-51	7.51E-51	1.07E+00
MDFIC	4.12E-136	4.51E-134	-2.95E+00	7.06E-02	108	152															2.17E-36	3.24E-36	-6.59E-01	3.37E-22	4.29E-22	2.65E-01
MLC1	3.61E-110	2.86E-108	-2.76E+00	6.54E-02	191	93															2.36E-93	5.01E-93	-1.31E+00	2.48E-28	3.35E-28	2.64E-01
MOB3B	7.21E-69	3.21E-67	-2.12E+00	5.47E-02	28	34															5.06E-291	2.41E-290	-1.31E+00	0.00E+00	0.00E+00	-1.02E+00
MOXD1	2.66E-49	8.20E-48	-2.11E+00	3.84E-02	21	51															7.32E-40	1.14E-39	-4.87E-01	5.31E-32	7.42E-32	-9.50E-03
MPP5	3.65E-38	8.79E-37	-1.43E+00	5.53E-02	64	70															2.89E-94	6.22E-94	-3.99E-01	4.56E-87	8.85E-87	-8.24E-02
MRC2	3.68E-46	1.06E-44	-3.26E+00	2.24E-02	119	35															2.86E-93	6.02E-93	-1.63E+00	8.67E-240	3.27E-239	-1.37E+00
MYCL	1.56E-90	9.50E-89	-1.82E+00	1.21E-01	179	181															1.43E-227	5.60E-227	1.95E+00	1.16E-164	3.05E-164	1.61E+00
MYO10	2.46E-217	6.72E-215	-1.58E+00	4.24E-01	101	161															1.30E-56	2.22E-56	1.68E-01	5.13E-107	1.03E-106	5.59E-01
NEUROG1	0.00E+00	0.00E+00	-2.74E+00	1.01E+00	161	180															0.00E+00	0.00E+00	3.33E+00	0.00E+00	0.00E+00	2.96E+00
NFATC4	1.44E-56	5.20E-55	-2.29E+00	4.12E-02	185	82															7.50E-131	1.95E-130	-8.67E-01	1.68E-201	5.26E-201	-9.41E-01
NIN	1.91E-67	8.37E-66	-1.81E+00	8.50E-02	97	1															1.93E-18	2.43E-18	1.22E+00	6.61E-04	7.34E-04	9.36E-01
NINJ1	1.33E-50	4.15E-49	-1.56E+00	6.76E-02	148	118															7.79E-26	1.07E-25	2.23E-01	3.21E-09	3.83E-09	3.46E-01
NKAIN3	1.17E-306	6.83E-304	-1.37E+00	9.77E-01	98	178															0.00E+00	0.00E+00	1.39E+00	0.00E+00	0.00E+00	1.52E+00
NOTCH2	2.04E-34	4.49E-33	-1.34E+00	6.58E-02	1	83															2.18E-231	8.73E-231	-1.02E+00	3.31E-71	5.90E-71	1.56E-02
NOTCH3	1.17E-87	6.88E-86	-2.55E+00	4.93E-02	135	30															0.00E+00	0.00E+00	-1.92E+00	0.00E+00	0.00E+00	-1.64E+00
NPY	2.37E-181	4.48E-179	-1.88E+00	3.51E-01	109	165															3.39E-22	4.46E-22	3.88E-01	2.70E-168	7.29E-168	1.32E+00
NR2E1	1.09E-41	2.86E-40	-1.24E+00	1.04E-01	48	27															0.00E+00	0.00E+00	-1.26E+00	4.95E-296	2.25E-295	-6.48E-01
NUP62CL	2.61E-61	1.02E-59	-2.48E+00	3.24E-02	46	111															1.65E-19	2.09E-19	8.31E-03	3.42E-26	4.56E-26	-6.22E-02
P4HA1	1.18E-81	6.42E-80	-1.79E+00	9.63E-02	170	33															2.21E-258	9.60E-258	-8.36E-01	0.00E+00	0.00E+00	-9.64E-01
PARVA	4.70E-46	1.36E-44	-2.09E+00	4.35E-02	186	89															6.60E-52	1.11E-51	-2.06E-01	7.53E-46	1.16E-45	-2.11E-02
PBX3	9.50E-71	4.36E-69	-1.23E+00	1.49E-01	22	140															1.91E-03	2.02E-03	1.05E+00	2.74E-05	3.06E-05	6.15E-01
PBXIP1	1.47E-44	4.10E-43	-2.37E+00	3.18E-02	9	84															1.75E-139	4.73E-139	-1.16E+00	4.25E-193	1.29E-192	-8.55E-01
PDGFD	3.09E-64	1.28E-62	-1.92E+00	6.09E-02	47	107															4.64E-75	9.01E-75	-3.27E-01	6.91E-30	9.46E-30	1.87E-01
PDLIM3	9.06E-86	5.14E-84	-1.80E+00	9.44E-02	41	63															8.59E-241	3.58E-240	-8.46E-01	3.19E-159	8.19E-159	-4.23E-01
PDPN	9.12E-91	5.57E-89	-2.22E+00	7.54E-02	112	26															0.00E+00	0.00E+00	-1.46E+00	3.38E-129	7.59E-129	-4.92E-01
PEX2	2.08E-59	7.96E-58	-1.20E+00	1.37E-01	137	85															0.00E+00	0.00E+00	-8.75E-01	1.39E-216	4.54E-216	-3.72E-01
PGM1	7.99E-59	2.99E-57	-1.54E+00	7.73E-02	117	32															1.66E-300	8.51E-300	-9.63E-01	0.00E+00	0.00E+00	-1.09E+00
PLOD2	1.97E-36	4.56E-35	-1.56E+00	4.29E-02	51	102															2.63E-63	4.70E-63	-3.29E-01	6.05E-136	1.42E-135	-5.61E-01
PLPPR4	1.47E-222	4.22E-220	-2.52E+00	1.68E-01	19	194															0.00E+00	0.00E+00	3.77E+00	0.00E+00	0.00E+00	4.15E+00
PLSCR1	9.25E-40	2.32E-38	-1.54E+00	4.46E-02	54	154															2.11E-11	2.48E-11	2.99E-01	8.20E-02	8.72E-02	6.00E-01
PMP22	1.99E-133	2.02E-131	-3.58E+00	5.39E-02	30	144															3.74E-05	4.08E-05	4.53E-01	5.83E-06	6.58E-06	4.50E-01
PON2	2.51E-175	4.45E-173	-2.24E+00	1.36E-01	152	29															0.00E+00	0.00E+00	-1.22E+00	0.00E+00	0.00E+00	-1.01E+00
PPP1R14C	2.40E-50	7.49E-49	-2.03E+00	8.39E-02	162	198															1.38E-124	3.49E-124	3.36E+00	0.00E+00	0.00E+00	4.03E+00
PRDM16	5.70E-53	1.89E-51	-1.65E+00	6.06E-02	67	78															3.53E-213	1.26E-212	-1.40E+00	1.44E-60	2.39E-60	3.19E-02
PREX2	1.36E-35	3.09E-34	-1.60E+00	4.51E-02	36	76															3.90E-127	1.00E-126	-1.12E+00	2.58E-133	5.99E-133	-3.32E-01
PROSER2	4.51E-39	1.11E-37	-2.36E+00	2.50E-02	189	147															6.36E-02	6.66E-02	8.74E-01	1.07E-53	1.72E-53	-3.27E-01
PTGR1	3.41E-73	1.62E-71	-1.69E+00	7.35E-02	52	55															8.95E-40	1.38E-39	-2.19E-03	1.68E-129	3.81E-129	-4.77E-01
PTN	0.00E+00	0.00E+00	-1.70E+00	1.27E+00	80	21															0.00E+00	0.00E+00	-5.95E-01	2.15E-01	2.26E-01	2.51E-03
RAB32	4.19E-76	2.09E-74	-2.91E+00	3.26E-02	60	110															5.48E-24	7.31E-24	-3.95E-01	4.83E-69	8.40E-69	-2.79E-01
RARRES2	2.85E-148	3.62E-146	-2.42E+00	1.34E-01	93	149															1.76E-26	2.42E-26	1.76E-01	8.35E-34	1.18E-33	1.15E+00
REXO2	1.96E-134	2.11E-132	-2.76E+00	8.36E-02	173	19															4.42E-62	7.83E-62	-9.36E-02	9.94E-220	3.49E-219	-6.03E-01
RFLNB	1.45E-32	3.00E-31	-2.34E+00	1.97E-02	45	168															2.15E-01	2.22E-01	1.05E+00	5.90E-01	5.96E-01	7.46E-01
RFTN2	1.57E-134	1.69E-132	-3.20E+00	7.23E-02	184	160															2.66E-25	3.63E-25	3.92E-02	2.21E-02	2.41E-02	6.52E-01
RFX4	2.68E-34	5.88E-33	-2.55E+00	1.89E-02	172	49															0.00E+00	0.00E+00	-2.64E+00	0.00E+00	0.00E+00	-2.76E+00
RGS16	9.51E-187	1.99E-184	-1.77E+00	5.52E-01	178	173															0.00E+00	0.00E+00	2.27E+00	0.00E+00	0.00E+00	1.75E+00
RGS20	2.24E-36	5.17E-35	-1.48E+00	4.89E-02	85	112															9.46E-38	1.43E-37	-2.26E-01	1.74E-08	2.05E-08	4.98E-01
RHOC	2.60E-41	6.74E-40	-1.64E+00	3.81E-02	31	31															5.86E-258	2.49E-257	-1.56E+00	0.00E+00	0.00E+00	-1.17E+00
RND2	6.06E-91	3.73E-89	-1.31E+00	2.49E-01	175	186															0.00E+00	0.00E+00	2.23E+00	0.00E+00	0.00E+00	2.30E+00
RPS4Y1	2.34E-122	2.13E-120	-1.85E+00	4.31E-01	14	12															0.00E+00	0.00E+00	-1.17E+00	4.20E-01	4.35E-01	8.04E-02
RXRA	2.14E-40	5.43E-39	-1.69E+00	3.75E-02	140	14															5.39E-18	6.74E-18	1.62E-02	5.13E-41	7.71E-41	1.07E-01
SALL1	3.09E-67	1.35E-65	-1.30E+00	1.18E-01	7	74															2.93E-233	1.20E-232	-5.58E-01	5.23E-130	1.20E-129	-2.59E-01
SALL3	7.00E-59	2.64E-57	-3.31E+00	2.45E-02	124	109															1.19E-32	1.72E-32	-6.75E-01	1.09E-10	1.33E-10	3.83E-01
SDC4	9.42E-76	4.68E-74	-2.80E+00	3.66E-02	118	150															4.48E-13	5.39E-13	5.64E-02	4.62E-01	4.76E-01	6.35E-01
SELENBP1	1.41E-82	7.74E-81	-2.99E+00	4.68E-02	167	130															3.00E-09	3.47E-09	3.05E-01	1.24E-17	1.54E-17	1.30E+00
SELENOP	3.35E-136	3.69E-134	-3.63E+00	6.12E-02	126	36															0.00E+00	0.00E+00	-2.25E+00	9.29E-284	3.87E-283	-1.05E+00
SEZ6L	1.95E-140	2.28E-138	-1.50E+00	2.89E-01	107	199															6.46E-61	1.13E-60	1.62E+00	0.00E+00	0.00E+00	2.48E+00
SFRP2	6.46E-78	3.30E-76	-1.35E+00	1.87E-01	0	25															0.00E+00	0.00E+00	-1.36E+00	0.00E+00	0.00E+00	-9.28E-01
SFXN5	2.07E-41	5.36E-40	-1.29E+00	7.69E-02	73	141															4.60E-06	5.12E-06	5.18E-01	5.70E-58	9.27E-58	1.43E+00
SIPA1L1	4.07E-45	1.15E-43	-1.55E+00	6.02E-02	69	5															1.56E-22	2.07E-22	8.28E-02	1.32E-07	1.53E-07	4.72E-01
SLC1A3	3.79E-150	5.00E-148	-1.74E+00	2.12E-01	142	79															0.00E+00	0.00E+00	-1.52E+00	1.69E-09	2.03E-09	6.22E-02
SLC25A13	1.97E-60	7.59E-59	-2.31E+00	4.40E-02	150	90															4.83E-21	6.24E-21	1.40E-01	7.31E-66	1.24E-65	-2.13E-01
SLC2A4RG	1.36E-39	3.41E-38	-1.58E+00	5.31E-02	44	59															1.12E-102	2.55E-102	-8.51E-01	7.04E-265	2.81E-264	-7.05E-01
SLC35F3	2.12E-32	4.39E-31	-3.67E+00	1.18E-02	195	182															4.25E-01	4.34E-01	1.03E+00	1.26E-78	2.36E-78	3.03E+00
SLC4A2	3.99E-37	9.36E-36	-1.39E+00	5.45E-02	164	114															4.03E-36	5.98E-36	1.47E-02	1.20E-08	1.42E-08	5.16E-01
SMO	2.16E-32	4.46E-31	-1.25E+00	5.62E-02	105	159															2.46E-15	3.02E-15	2.30E-01	8.66E-04	9.57E-04	5.91E-01
SNX7	2.44E-71	1.13E-69	-1.79E+00	7.30E-02	35	20															5.90E-260	2.62E-259	-1.09E+00	3.07E-174	8.66E-174	-4.46E-01
SOX1	2.95E-160	4.60E-158	-2.00E+00	1.82E-01	26	120															1.30E-78	2.57E-78	-1.74E-01	9.75E-10	1.18E-09	2.03E-01
SOX2	0.00E+00	0.00E+00	-1.51E+00	1.69E+00	32	81															0.00E+00	0.00E+00	-8.41E-01	0.00E+00	0.00E+00	-4.92E-01
SOX21	5.29E-81	2.81E-79	-1.59E+00	1.17E-01	27	158															2.08E-87	4.25E-87	-6.87E-01	3.30E-42	5.00E-42	1.00E+00
SOX6	2.47E-77	1.25E-75	-2.05E+00	6.55E-02	4	57															2.21E-178	7.24E-178	-1.20E+00	3.90E-122	8.49E-122	-2.55E-01
SPR	7.80E-43	2.10E-41	-2.01E+00	3.69E-02	156	117															5.57E-22	7.28E-22	5.02E-02	2.49E-08	2.92E-08	3.09E-01
STK17A	2.59E-290	1.25E-287	-1.59E+00	5.80E-01	181	191															0.00E+00	0.00E+00	2.46E+00	0.00E+00	0.00E+00	2.20E+00
SYT2	3.01E-42	8.00E-41	-2.27E+00	3.73E-02	180	189															1.36E-140	3.73E-140	4.43E+00	3.06E-284	1.30E-283	4.17E+00
TCIM	5.50E-150	7.21E-148	-2.76E+00	1.15E-01	122	40															0.00E+00	0.00E+00	-2.42E+00	3.89E-224	1.39E-223	-6.93E-01
TFAP2C	0.00E+00	0.00E+00	-1.83E+00	6.24E-01	149	142															2.47E-05	2.72E-05	6.34E-01	2.48E-217	8.27E-217	7.25E-01
TFDP2	6.41E-246	2.06E-243	-1.32E+00	6.77E-01	99	170															3.52E-270	1.60E-269	1.34E+00	0.00E+00	0.00E+00	1.27E+00
TIMP1	4.88E-32	9.96E-31	-1.46E+00	4.31E-02	147	43															4.80E-291	2.34E-290	-1.27E+00	0.00E+00	0.00E+00	-1.26E+00
TJP1	1.97E-93	1.26E-91	-1.34E+00	1.70E-01	193	115															8.33E-13	9.97E-13	5.27E-01	1.66E-23	2.15E-23	1.98E-01
TKTL1	2.51E-74	1.21E-72	-3.18E+00	4.05E-02	182	22															2.12E-279	9.86E-279	-2.34E+00	9.65E-147	2.35E-146	-9.86E-01
TMEM108	5.87E-133	5.91E-131	-1.64E+00	2.75E-01	106	10															4.61E-71	8.70E-71	1.70E+00	0.00E+00	0.00E+00	2.13E+00
TMEM132B	6.41E-63	2.58E-61	-1.74E+00	7.25E-02	74	13															1.78E-66	3.27E-66	-8.24E-01	5.95E-54	9.59E-54	-1.43E-01
TMEM132D	4.97E-61	1.94E-59	-3.38E+00	2.34E-02	196	129															4.22E-01	4.33E-01	6.69E-01	1.37E-03	1.50E-03	9.21E-01
TMEM158	5.46E-183	1.07E-180	-1.30E+00	9.07E-01	100	196															0.00E+00	0.00E+00	2.54E+00	0.00E+00	0.00E+00	2.07E+00
TMEM38B	3.57E-69	1.60E-67	-1.27E+00	1.41E-01	37	126															2.25E-06	2.52E-06	9.65E-01	2.64E-90	5.17E-90	1.34E+00
TOX	3.99E-47	1.18E-45	-2.46E+00	3.05E-02	8	7															3.47E-28	4.89E-28	-3.64E-01	9.16E-18	1.15E-17	3.77E-01
TOX3	6.99E-134	7.27E-132	-1.35E+00	2.77E-01	76	125															8.51E-37	1.28E-36	1.14E+00	1.00E-123	2.21E-123	8.85E-01
TPM2	5.93E-78	3.04E-76	-1.73E+00	1.02E-01	157	106															4.20E-105	9.66E-105	-3.94E-01	4.01E-25	5.28E-25	2.00E-01
TRIL	1.20E-151	1.62E-149	-1.85E+00	2.21E-01	2	185															0.00E+00	0.00E+00	3.59E+00	0.00E+00	0.00E+00	3.09E+00
TRIM56	1.93E-35	4.36E-34	-2.29E+00	2.79E-02	145	113															1.34E-30	1.93E-30	-3.82E-01	7.24E-01	7.28E-01	7.37E-01
TRIM9	8.59E-72	4.00E-70	-1.66E+00	8.52E-02	136	190															4.51E-05	4.87E-05	5.07E-01	7.74E-84	1.47E-83	1.59E+00
UBE2QL1	7.08E-83	3.91E-81	-1.45E+00	1.60E-01	165	192															0.00E+00	0.00E+00	3.94E+00	0.00E+00	0.00E+00	3.64E+00
UTRN	5.53E-50	1.72E-48	-1.87E+00	5.39E-02	79	66															4.17E-92	8.69E-92	-3.73E-01	6.51E-197	2.00E-196	-7.28E-01
VIM	1.51E-117	1.30E-115	-1.54E+00	1.76E+00	12	45															0.00E+00	0.00E+00	-2.02E+00	0.00E+00	0.00E+00	-1.70E+00
WSCD1	1.12E-155	1.64E-153	-2.55E+00	1.02E-01	134	128															1.56E-01	1.62E-01	8.35E-01	2.27E-27	3.05E-27	9.63E-01
YBX3	1.73E-102	1.19E-100	-1.95E+00	9.41E-02	87	92															2.12E-78	4.16E-78	-3.71E-01	9.53E-65	1.60E-64	-1.05E-02
ZBTB20	6.35E-268	2.65E-265	-1.28E+00	1.09E+00	5	163															8.12E-02	8.46E-02	5.88E-01	0.00E+00	0.00E+00	1.53E+00
ZFHX4	2.73E-207	6.80E-205	-1.88E+00	2.78E-01	121	95															3.07E-305	1.66E-304	-5.59E-01	1.36E-30	1.88E-30	6.23E-01
ZHX3	2.36E-36	5.43E-35	-1.24E+00	8.08E-02	33	197															2.06E-08	2.36E-08	1.58E+00	3.90E-235	1.45E-234	2.15E+00
ZIC5	4.15E-36	9.50E-35	-1.54E+00	4.88E-02	20	162															1.24E-16	1.53E-16	2.60E-01	4.86E-37	7.04E-37	1.93E-01
